시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설년도,전화번호,데이터기준일자
도남시장,상설장,제주특별자치도 제주시 도남동 923-13,,매일,33.49640746,126.5289381,,,,,,,1991,,2019-04-02
한림매일시장,상설장,제주특별자치도 제주시 한림읍 한림리 1314-68,,매일,33.41657985,126.2642257,,,,,,,1950,,2019-04-02
중앙로상점가,상설장,제주특별자치도 제주시 이도1동 1469,,매일,33.51064082,126.5241772,,,,,,,1965,,2019-04-02
동문시장(주),상설장,제주특별자치도 제주시 일도일동 1148-2,,매일,33.51276339,126.5282957,,,,,,,1965,,2019-04-02
중앙지하상가,상설장,제주특별자치도 제주시 일도일동 1425-3,,매일,33.51315271,126.5246405,,,,,,,1983,,2019-04-02
칠성로상점가,상설장,제주특별자치도 제주시 일도일동 1146,,매일,33.51352107,126.5283259,,,,,,,1965,,2019-04-02
보성시장,상설장,제주특별자치도 제주시 이도일동 1289-5,,매일,33.5033287,126.5279387,,,,,,,1972,,2019-04-02
동문공설시장,상설장,제주특별자치도 제주시 일도일동 1104,,매일,33.5120899,126.5285223,,,,,,,1954,,2019-04-02
서문공설시장,상설장,제주특별자치도 제주시 용담일동 135-9,,매일,33.51134145,126.5179122,,,,,,,1954,,2019-04-02
제주동문수산시장,상설장,제주특별자치도 제주시 이도일동 1349-5,,매일,33.51225146,126.5261841,,,,,,,1970,,2019-04-02
동문재래시장,상설장,제주특별자치도 제주시 이도일동 1436-7,,매일,33.5115914,126.5260231,,,,,,,1954,,2019-04-02
