Market,Income.15,Income.16,Income.17,Income.18,Visit.15,Visit.16,Visit.17,Visit.18
동문공설시장,3570,3720,4050,3860,2140,2310,2490,2240
한림매일시장,980,990,1010,1030,380,390,410,570
성산오일시장,150,100,110,NA,50,30,40,NA
대정오일시장,7400,7510,7960,8360,2060,2180,2370,3100
서귀포 매일올레시장,15100,18960,20990,22180,13710,17370,18960,20040
제주 서문시장,3210,3450,3750,3820,1160,1320,1520,2320
제주 보성시장,3030,2950,2960,2570,1380,1350,1370,1310
도남시장,2970,2890,2980,2340,740,720,750,1080
중앙지하상가,48700,46120,49580,45220,61000,60810,61530,4610
모슬포 중앙시장,1720,1810,1820,1100,530,540,560,540
중앙로상점가,12160,13010,13810,14030,3720,3880,4170,4200
제주 동문시장,56100,57180,59740,53520,11240,11780,12970,11970
동문수산시장,22540,22710,22860,17620,2980,4020,4130,3970
칠성로상점가,27800,28960,29740,27560,3410,2610,3820,3540
