가로좌표 (X Coord),세로좌표 (Y Coord),국가지점좌표계250키(SPO_NO_250)
884875.0001,1458875,나나84D58D
885125.0001,1458875,나나85D58A
884875.0001,1459125,나나84A59D
885125.0001,1459125,나나85A59A
884875.0001,1459375,나나84B59D
885125.0001,1459375,나나85B59A
884875.0001,1459625,나나84C59D
885125.0001,1459625,나나85C59A
885125.0001,1459875,나나85D59A
885125.0001,1464375,나나85B64A
885375.0001,1464375,나나85B64B
885625.0001,1464375,나나85B64C
885125.0001,1464625,나나85C64A
885375.0001,1464625,나나85C64B
885625.0001,1464625,나나85C64C
885875.0001,1464625,나나85C64D
886125.0001,1464625,나나86C64A
884875.0001,1464875,나나84D64D
885125.0001,1464875,나나85D64A
885375.0001,1464875,나나85D64B
885625.0001,1464875,나나85D64C
885875.0001,1464875,나나85D64D
886125.0001,1464875,나나86D64A
884875.0001,1465125,나나84A65D
885125.0001,1465125,나나85A65A
885375.0001,1465125,나나85A65B
885625.0001,1465125,나나85A65C
885875.0001,1465125,나나85A65D
886125.0001,1465125,나나86A65A
884875.0001,1465375,나나84B65D
885125.0001,1465375,나나85B65A
885375.0001,1465375,나나85B65B
885625.0001,1465375,나나85B65C
885875.0001,1465375,나나85B65D
885375.0001,1465625,나나85C65B
885625.0001,1465625,나나85C65C
885125.0001,1467875,나나85D67A
885375.0001,1467875,나나85D67B
885625.0001,1467875,나나85D67C
886875.0001,1467875,나나86D67D
887125.0001,1467875,나나87D67A
887375.0001,1467875,나나87D67B
887625.0001,1467875,나나87D67C
884625.0001,1468125,나나84A68C
884875.0001,1468125,나나84A68D
885125.0001,1468125,나나85A68A
885375.0001,1468125,나나85A68B
885625.0001,1468125,나나85A68C
885875.0001,1468125,나나85A68D
886875.0001,1468125,나나86A68D
887125.0001,1468125,나나87A68A
887375.0001,1468125,나나87A68B
887625.0001,1468125,나나87A68C
884625.0001,1468375,나나84B68C
884875.0001,1468375,나나84B68D
885125.0001,1468375,나나85B68A
885375.0001,1468375,나나85B68B
885625.0001,1468375,나나85B68C
885875.0001,1468375,나나85B68D
886125.0001,1468375,나나86B68A
886375.0001,1468375,나나86B68B
886625.0001,1468375,나나86B68C
886875.0001,1468375,나나86B68D
887125.0001,1468375,나나87B68A
887375.0001,1468375,나나87B68B
887625.0001,1468375,나나87B68C
884625.0001,1468625,나나84C68C
884875.0001,1468625,나나84C68D
885125.0001,1468625,나나85C68A
885375.0001,1468625,나나85C68B
885625.0001,1468625,나나85C68C
885875.0001,1468625,나나85C68D
886125.0001,1468625,나나86C68A
886375.0001,1468625,나나86C68B
886625.0001,1468625,나나86C68C
886875.0001,1468625,나나86C68D
887125.0001,1468625,나나87C68A
887375.0001,1468625,나나87C68B
887625.0001,1468625,나나87C68C
884625.0001,1468875,나나84D68C
884875.0001,1468875,나나84D68D
885125.0001,1468875,나나85D68A
885375.0001,1468875,나나85D68B
885625.0001,1468875,나나85D68C
885875.0001,1468875,나나85D68D
886125.0001,1468875,나나86D68A
886375.0001,1468875,나나86D68B
886625.0001,1468875,나나86D68C
886875.0001,1468875,나나86D68D
887125.0001,1468875,나나87D68A
887375.0001,1468875,나나87D68B
884875.0001,1469125,나나84A69D
885125.0001,1469125,나나85A69A
885375.0001,1469125,나나85A69B
885625.0001,1469125,나나85A69C
885875.0001,1469125,나나85A69D
886125.0001,1469125,나나86A69A
886375.0001,1469125,나나86A69B
886625.0001,1469125,나나86A69C
886875.0001,1469125,나나86A69D
887125.0001,1469125,나나87A69A
887375.0001,1469125,나나87A69B
889375.0001,1469125,나나89A69B
889625.0001,1469125,나나89A69C
884625.0001,1469375,나나84B69C
884875.0001,1469375,나나84B69D
885125.0001,1469375,나나85B69A
885375.0001,1469375,나나85B69B
885625.0001,1469375,나나85B69C
885875.0001,1469375,나나85B69D
886125.0001,1469375,나나86B69A
886375.0001,1469375,나나86B69B
886625.0001,1469375,나나86B69C
886875.0001,1469375,나나86B69D
887125.0001,1469375,나나87B69A
887375.0001,1469375,나나87B69B
889375.0001,1469375,나나89B69B
889625.0001,1469375,나나89B69C
883375.0001,1469625,나나83C69B
883875.0001,1469625,나나83C69D
884125.0001,1469625,나나84C69A
884375.0001,1469625,나나84C69B
884625.0001,1469625,나나84C69C
884875.0001,1469625,나나84C69D
885125.0001,1469625,나나85C69A
885375.0001,1469625,나나85C69B
885625.0001,1469625,나나85C69C
885875.0001,1469625,나나85C69D
886125.0001,1469625,나나86C69A
886375.0001,1469625,나나86C69B
886625.0001,1469625,나나86C69C
886875.0001,1469625,나나86C69D
887125.0001,1469625,나나87C69A
887375.0001,1469625,나나87C69B
887625.0001,1469625,나나87C69C
889375.0001,1469625,나나89C69B
883375.0001,1469875,나나83D69B
883625.0001,1469875,나나83D69C
883875.0001,1469875,나나83D69D
884125.0001,1469875,나나84D69A
884375.0001,1469875,나나84D69B
884625.0001,1469875,나나84D69C
884875.0001,1469875,나나84D69D
885125.0001,1469875,나나85D69A
885375.0001,1469875,나나85D69B
885625.0001,1469875,나나85D69C
885875.0001,1469875,나나85D69D
886125.0001,1469875,나나86D69A
886375.0001,1469875,나나86D69B
886625.0001,1469875,나나86D69C
886875.0001,1469875,나나86D69D
887125.0001,1469875,나나87D69A
887375.0001,1469875,나나87D69B
887625.0001,1469875,나나87D69C
908125.0001,1469875,다나08D69A
883125.0001,1470125,나나83A70A
883375.0001,1470125,나나83A70B
883625.0001,1470125,나나83A70C
883875.0001,1470125,나나83A70D
884125.0001,1470125,나나84A70A
884375.0001,1470125,나나84A70B
884625.0001,1470125,나나84A70C
884875.0001,1470125,나나84A70D
885125.0001,1470125,나나85A70A
885375.0001,1470125,나나85A70B
885625.0001,1470125,나나85A70C
885875.0001,1470125,나나85A70D
886125.0001,1470125,나나86A70A
886375.0001,1470125,나나86A70B
886625.0001,1470125,나나86A70C
886875.0001,1470125,나나86A70D
887125.0001,1470125,나나87A70A
887375.0001,1470125,나나87A70B
887625.0001,1470125,나나87A70C
908125.0001,1470125,다나08A70A
908375.0001,1470125,다나08A70B
883375.0001,1470375,나나83B70B
883625.0001,1470375,나나83B70C
883875.0001,1470375,나나83B70D
884125.0001,1470375,나나84B70A
884375.0001,1470375,나나84B70B
884625.0001,1470375,나나84B70C
884875.0001,1470375,나나84B70D
885125.0001,1470375,나나85B70A
885375.0001,1470375,나나85B70B
885625.0001,1470375,나나85B70C
885875.0001,1470375,나나85B70D
886125.0001,1470375,나나86B70A
886375.0001,1470375,나나86B70B
886625.0001,1470375,나나86B70C
886875.0001,1470375,나나86B70D
887125.0001,1470375,나나87B70A
887375.0001,1470375,나나87B70B
887625.0001,1470375,나나87B70C
908125.0001,1470375,다나08B70A
908375.0001,1470375,다나08B70B
883125.0001,1470625,나나83C70A
883375.0001,1470625,나나83C70B
883625.0001,1470625,나나83C70C
883875.0001,1470625,나나83C70D
884125.0001,1470625,나나84C70A
884375.0001,1470625,나나84C70B
884625.0001,1470625,나나84C70C
884875.0001,1470625,나나84C70D
885125.0001,1470625,나나85C70A
885375.0001,1470625,나나85C70B
885625.0001,1470625,나나85C70C
885875.0001,1470625,나나85C70D
886125.0001,1470625,나나86C70A
886375.0001,1470625,나나86C70B
886625.0001,1470625,나나86C70C
886875.0001,1470625,나나86C70D
887125.0001,1470625,나나87C70A
887375.0001,1470625,나나87C70B
887625.0001,1470625,나나87C70C
887875.0001,1470625,나나87C70D
921125.0001,1470625,다나21C70A
921375.0001,1470625,다나21C70B
882625.0001,1470875,나나82D70C
882875.0001,1470875,나나82D70D
883125.0001,1470875,나나83D70A
883375.0001,1470875,나나83D70B
883625.0001,1470875,나나83D70C
883875.0001,1470875,나나83D70D
884125.0001,1470875,나나84D70A
884375.0001,1470875,나나84D70B
884625.0001,1470875,나나84D70C
884875.0001,1470875,나나84D70D
885125.0001,1470875,나나85D70A
885375.0001,1470875,나나85D70B
885625.0001,1470875,나나85D70C
885875.0001,1470875,나나85D70D
886125.0001,1470875,나나86D70A
886375.0001,1470875,나나86D70B
886625.0001,1470875,나나86D70C
886875.0001,1470875,나나86D70D
887125.0001,1470875,나나87D70A
887375.0001,1470875,나나87D70B
887625.0001,1470875,나나87D70C
887875.0001,1470875,나나87D70D
888125.0001,1470875,나나88D70A
912875.0001,1470875,다나12D70D
913125.0001,1470875,다나13D70A
913375.0001,1470875,다나13D70B
921125.0001,1470875,다나21D70A
921375.0001,1470875,다나21D70B
882625.0001,1471125,나나82A71C
882875.0001,1471125,나나82A71D
883125.0001,1471125,나나83A71A
883375.0001,1471125,나나83A71B
883625.0001,1471125,나나83A71C
883875.0001,1471125,나나83A71D
884125.0001,1471125,나나84A71A
884375.0001,1471125,나나84A71B
884625.0001,1471125,나나84A71C
884875.0001,1471125,나나84A71D
885125.0001,1471125,나나85A71A
885375.0001,1471125,나나85A71B
885625.0001,1471125,나나85A71C
885875.0001,1471125,나나85A71D
886125.0001,1471125,나나86A71A
886375.0001,1471125,나나86A71B
886625.0001,1471125,나나86A71C
886875.0001,1471125,나나86A71D
887125.0001,1471125,나나87A71A
887375.0001,1471125,나나87A71B
887625.0001,1471125,나나87A71C
887875.0001,1471125,나나87A71D
888125.0001,1471125,나나88A71A
888375.0001,1471125,나나88A71B
903875.0001,1471125,다나03A71D
904125.0001,1471125,다나04A71A
904375.0001,1471125,다나04A71B
904625.0001,1471125,다나04A71C
912875.0001,1471125,다나12A71D
913125.0001,1471125,다나13A71A
915875.0001,1471125,다나15A71D
916125.0001,1471125,다나16A71A
916375.0001,1471125,다나16A71B
882625.0001,1471375,나나82B71C
882875.0001,1471375,나나82B71D
883125.0001,1471375,나나83B71A
883375.0001,1471375,나나83B71B
883625.0001,1471375,나나83B71C
883875.0001,1471375,나나83B71D
884125.0001,1471375,나나84B71A
884375.0001,1471375,나나84B71B
884625.0001,1471375,나나84B71C
884875.0001,1471375,나나84B71D
885125.0001,1471375,나나85B71A
885375.0001,1471375,나나85B71B
885625.0001,1471375,나나85B71C
885875.0001,1471375,나나85B71D
886125.0001,1471375,나나86B71A
