축제 번호,축제명,행사시작일,행사종료일,행사기간,행사위치,행사장소
1,김녕·월정 지질트레일 길 열림 행사,2014-10-25,2014-10-25,1,제주특별자치도 제주시 구좌읍 김녕로21길 12 (구좌읍),김녕어울림센터 및 김녕리_ 월정리 일대
2,제주 전통문화 EXPO 2015,2015-01-17,2015-01-18,2,제주특별자치도 서귀포시 중문관광로 224,제주국제컨벤션센터(ICC제주)
3,제주 서사라문화거리축제 2015,2015-03-28,2015-03-29,2,제주특별자치도 제주시 삼도1동 1230,삼도1동 전농로 일대
4,우도 섬축제 2015,2015-04-17,2015-04-19,3,제주측별차치도 제주시 우도면 연령리 1737-15,우도천진항 일대
5,성산 오조 지질트레일 길열림 행사,2015-04-26,2015-04-26,1,제주특별자치도 서귀포시 성산읍 오조리 3,오조 해녀의 집 부근
6,산지천축제,2015-09-04,2015-09-06,3,제주특별자치도 제주시 만덕로 18 건입동주민센터,용진교_ 북성교 일대
7,제주 해녀축제 2015,2015-10-02,2015-10-04,3,제주특별자치도 제주시 구좌읍 해녀박물관길 26 (구좌읍),제주 구좌읍 해녀박물관 및 해안일원
8,서귀포 칠십리축제 2015,2015-10-02,2015-10-04,3,제주특별자치도 서귀포시 서귀동 70-1,서귀포 자구리공원 일원
9,제주프린지페스티벌 2015,2015-10-02,2015-10-11,10,제주특별자치도 제주시 관덕로6길 12 (삼도이동),제주시 삼도2동 문화의거리 일대
10,제54회 탐라문화제,2015-10-07,2015-10-11,5,제주특별자치도 제주시 건입동,탑동광장
11,덕수리전통민속재현축제 2015,2015-10-10,2015-10-11,2,제주특별자치도 서귀포시 안덕면 일주서로 1836,제주 서귀포시 덕수리민속공연장
12,대정고을추사문화예술제 2015,2015-10-10,2015-10-11,2,제주특별자치도 서귀포시 대정읍 추사로 44 (대정읍),제주 서귀포시 추사유배지 일원
13,정의고을 전통민속재현축제 2015,2015-10-10,2015-10-11,2,제주특별자치도 서귀포시 표선면 성읍정의현로22번길 9 (표선면),성읍민속마을 남문광장
14,제주마(馬)축제 2015,2015-10-16,2015-10-18,3,제주특별자치도 제주시 애월읍 평화로 2144 (애월읍),제주 제주시 KRA제주경마장
15,가을을 만나다 - 참살이 잔디밭 미니 콘서트,2015-10-17,2015-10-17,1,제주특별자치도 제주시 명림로 268-71 (봉개동),제주 명도암 참살이 체험 마을
16,혼인지축제 2015,2015-10-24,2015-10-25,2,제주특별자치도 서귀포시 성산읍 온평리 1693,제주 서귀포시 혼인지 일대 등
17,제주옹기굴제 2015,2015-10-29,2015-11-01,4,제주특별자치도 서귀포시 대정읍 무영로254번길 13 (대정읍),고바치노랑굴 일대
18,제주올레걷기축제 2015,2015-10-30,2015-10-31,2,제주특별자치도 제주시 구좌읍 김녕리 4070,제주올레 20코스_ 21코스 일원
