축제 번호,축제명,실적기준, 가맹점수 ,카드이용자수,카드이용건수,카드이용금액
1,김녕·월정 지질트레일 길 열림 행사,행사기간 일평균,30,126,153,5273080
2,제주 전통문화 EXPO 2015,행사기간 일평균,16,483,667,49872840
3,제주 서사라문화거리축제 2015,행사기간 일평균,659.5,4106,5704,270968972
4,우도 섬축제 2015,행사기간 일평균,21,370,590,18576970
5,성산 오조 지질트레일 길열림 행사,행사기간 일평균,27,190,218,7662590
6,산지천축제,행사기간 일평균,556,5181,8020,421827659
7,제주 해녀축제 2015,행사기간 일평균,42,381,537,19695452
8,서귀포 칠십리축제 2015,행사기간 일평균,364.7,2329,3724,189998294
9,제주프린지페스티벌 2015,행사기간 일평균,246,4205,8492,541893996
10,제54회 탐라문화제,행사기간 일평균,329.2,4301,7171,455115577
11,덕수리전통민속재현축제 2015,행사기간 일평균,70,770,990,29074255
12,대정고을추사문화예술제 2015,행사기간 일평균,35,304,384,13149990
13,정의고을 전통민속재현축제 2015,행사기간 일평균,44.5,466,517,87505750
14,제주마(馬)축제 2015,행사기간 일평균,15.3,312,404,13979717
15,가을을 만나다 - 참살이 잔디밭 미니 콘서트,행사기간 일평균,27,167,174,9801870
16,혼인지축제 2015,행사기간 일평균,16,185,195,11085868
17,제주옹기굴제 2015,행사기간 일평균,4.8,73,94,6887712
18,제주올레걷기축제 2015,행사기간 일평균,27.5,177,224,8481390
19,한림공원 국화축제 2015,행사기간 일평균,11.7,352,608,24392549
20,추자도 참굴비 대축제 2015,행사기간 일평균,14,38,62,4012540
21,최남단방어축제 2015,행사기간 일평균,88.8,773,1256,58837616
22,제주성산일출축제,행사기간 일평균,128.3,1392,2207,90802997
23,한림공원 수선화축제 2016,행사기간 일평균,6.2,283,521,22749740
24,서귀포 겨울바다펭귄수영대회 2016,행사기간 일평균,69,1109,1524,151528254
25,제주 뮤직아일페스티벌 2016,행사기간 일평균,61,1358,2988,263443837
26,탐라국입춘굿놀이 2016,행사기간 일평균,829.5,5782,8315,790062310
27,국립제주박물관 설날 한마당 2016,행사기간 일평균,36.8,838,1072,49052168
28,제주민속촌 설날맞이 민속행사 2016,행사기간 일평균,36.6,452,772,32104420
29,제주 노리매 매화축제 2016,행사기간 일평균,2.8,459,765,23299375
30,제주목관아 설맞이 민속놀이마당 2016,행사기간 일평균,410.3,3704,5560,314118421
31,한림공원 매화축제 2016,행사기간 일평균,6.6,323,559,19741054
32,휴애리 매화축제 2016,행사기간 일평균,1.8,104,127,9817297
33,제주들불축제 2016,행사기간 일평균,2.8,86,102,16614240
34,국제전기자동차엑스포 2016,행사기간 일평균,75,1916,3772,272611957
35,서귀포 유채꽃 국제걷기대회 2016,행사기간 일평균,20,806,1103,60863018
36,한림공원 튤립축제 2016,행사기간 일평균,8.4,451,775,27272285
37,서사라문화 거리축제,행사기간 일평균,213.4,3446,6945,330139100
38,제주 왕벚꽃축제 2016,행사기간 일평균,213.4,3446,6945,330139100
39,제주 유채꽃축제 2016,행사기간 일평균,1,2,2,48000
40,가파도청보리축제 2016,행사기간 일평균,0.4,22,25,959869
41,한라산 청정 고사리 축제 2016,행사기간 일평균,3.5,17,17,1105470
42,한림공원 야생화축제 2016,행사기간 일평균,7.3,445,803,28631751
43,중문골프장 달빛걷기,행사기간 일평균,6.1,1634,4696,419082498
44,방선문축제 2016,행사기간 일평균,300,4476,5885,391785691
45,설문대 할망제 2016,행사기간 일평균,16,111,117,5356500
46,보목 자리돔축제 2016,행사기간 일평균,47.7,685,885,34816775
47,제주국제관광마라톤축제 2016,행사기간 일평균,33,180,211,4718780
48,한림공원 수국축제 2016,행사기간 일평균,7.7,499,943,31622773
49,용연선상음악회 2016,행사기간 일평균,660,4601,5634,350487035
50,제주 사려니숲 에코힐링 2016,행사기간 일평균,0.1,4,5,321929
51,제주 해비치 아트 페스티벌 2016,행사기간 일평균,17.5,299,476,18296800
52,제주 한림공원 연꽃축제 2016,행사기간 일평균,3.9,616,1229,38733915
53,거문오름 국제트레킹대회 2016,행사기간 일평균,3.1,88,112,2663218
54,제주 한여름밤의 예술축제 2016,행사기간 일평균,138.9,3705,7333,432159954
55,한여름밤 솜반천 청소년 영상문화축제,행사기간 일평균,61.8,1531,3942,157042364
56,삼양검은모래 해변축제 2016,행사기간 일평균,78,1163,1661,64620540
57,제주 이호테우축제 2016,행사기간 일평균,28.7,891,1046,129346957
58,표선해비치해변 하얀모래축제 2016,행사기간 일평균,102,929,1531,55117500
59,금능 원담축제 2016,행사기간 일평균,32.5,678,1027,20662975
60,서귀포 야해페스티벌 2016,행사기간 일평균,31.3,571,1183,41285821
61,"예래생태마을체험축제 2016 (구,논짓물축제)",행사기간 일평균,120,2091,3115,410000467
62,제주국제관악제 2016,행사기간 일평균,283.2,4601,10843,378145465
63,도두 오래물축제 2016,행사기간 일평균,43,1263,1606,117126270
64,쇠소깍 축제 2016,행사기간 일평균,25.5,333,427,11821288
65,제주 레저스포츠대축제 2016,행사기간 일평균,246.3,4172,7058,431118841
66,제주 뮤직 페스티벌 2016,행사기간 일평균,29,601,834,36643701
