상권명,기준년월,카드이용자수,카드이용건수,카드이용금액,카드이용자수: 남,카드이용자수: 여,카드이용자수: 20대 이하,카드이용자수: 30대,카드이용자수: 40대,카드이용자수: 50대 이상,카드이용자수: ~1km,카드이용자수: 1~3km,카드이용자수: 3~5km,카드이용자수: 5km~,카드이용금액: 주말,카드이용금액: 주중,카드이용금액: 8~18시,카드이용금액: 18시~8시,
제주시 방송통신고,2014,28717,97129,4143877003,13474,11304,4515,7090,7291,6360,3959,4629,3347,13724,885724539,3258152464,2150617586,1974509807,
제주시 방송통신고,2015,37988,156040,5325466609,18166,14993,7422,9068,9131,7809,4969,6243,4401,18556,1232606483,4092860126,2538404062,2776001657,
제주시 연동,2014,360466,1338373,104019767425,84321,63099,27110,43967,37261,41780,14489,19719,17898,107091,28371965193,75647802232,32434147139,39720651346,
제주시 연동,2015,416913,1810189,127460166722,113016,83917,44055,57479,47086,49733,15643,21894,19686,151633,35595982122,91864184600,33147942610,54301347950,
제주시 이도2동,2014,13615,27426,9896132110,7702,4315,1976,3932,3440,2856,2986,3624,1883,3777,701259629,9194872481,8246267018,1649145792,
제주시 이도2동,2015,17605,40778,12237477556,9882,5800,3017,4756,4367,3656,3779,4578,2378,5161,705552264,11531925292,10046566264,2190611692,
제주시 제주시청,2014,93896,578486,15461562179,42365,39651,24596,24773,18248,16175,11172,21664,12646,41947,4546337575,10915224604,5430758444,9664939235,
제주시 제주시청,2015,117436,930587,24194430117,54157,50643,34494,29572,22602,19192,12726,24873,14973,57863,7259927266,16934502851,7997170240,15814999877,
제주시 일도2동,2014,13729,46387,1257144857,6220,6403,1985,3820,3591,3467,3458,3643,1930,3877,245892810,1011252047,763277420,492850237,
제주시 일도2동,2015,17325,62541,1842192283,8306,7751,3060,4822,4389,3941,4268,4618,2412,4989,362136054,1480056229,1044823119,796695964,
제주시 한림읍,2014,14319,64357,2497453761,7079,5121,1597,3158,3514,4152,1141,894,610,9929,510808885,1986644876,1641203055,852609616,
제주시 한림읍,2015,18644,90072,3414203186,9412,6593,2463,4213,4376,5079,1279,1003,718,13301,715092594,2699110592,2102839468,1308596488,
서귀포 대정읍,2014,42312,137230,6025962446,21268,15002,4240,11772,9357,11458,1380,437,615,34682,1701549748,4324412698,3580323312,2444083014,
서귀포 대정읍,2015,57545,207473,8668011583,28968,20773,7503,15145,12392,15016,1551,543,690,47653,2456019030,6211992553,4829541461,3833833472,
서귀포 동흥동,2014,17202,96370,4437004859,8249,6646,1112,3694,4788,5587,2781,3054,1171,8287,883093771,3553911088,2871772564,1564807685,
서귀포 동흥동,2015,20835,120711,5229871627,10305,7924,1759,4627,5644,6309,3078,3538,1217,10674,1068355194,4161516433,3298968543,1930532824,
서귀포 중앙동,2014,121059,643553,36748516252,54724,46484,15911,33756,24744,28476,7232,8092,4221,88602,9214879354,27533636898,19390996156,16658835240,
