축제 번호,축제명,실적기준, 가맹점수 ,카드이용자수,카드이용건수,카드이용금액
1,김녕·월정 지질트레일 길 열림 행사,행사기간 일평균,30,126,153,5273080
1,김녕·월정 지질트레일 길 열림 행사,행사시작 1주일전 일평균,6.9,76,119,4342281
1,김녕·월정 지질트레일 길 열림 행사,전년 동기 일평균,5.4,35,51,2633449
2,제주 전통문화 EXPO 2015,행사기간 일평균,16,483,667,49872840
2,제주 전통문화 EXPO 2015,행사시작 1주일전 일평균,5.4,345,489,36368261
2,제주 전통문화 EXPO 2015,전년 동기 일평균,5.4,279,377,30461333
3,제주 서사라문화거리축제 2015,행사기간 일평균,659.5,4106,5704,270968972
3,제주 서사라문화거리축제 2015,행사시작 1주일전 일평균,290.1,3424,6133,355466357
3,제주 서사라문화거리축제 2015,전년 동기 일평균,286.3,3146,5542,359790414
4,우도 섬축제 2015,행사기간 일평균,21,370,590,18576970
4,우도 섬축제 2015,행사시작 1주일전 일평균,11.7,354,594,18560984
4,우도 섬축제 2015,전년 동기 일평균,10.9,192,322,11304476
5,성산 오조 지질트레일 길열림 행사,행사기간 일평균,27,190,218,7662590
5,성산 오조 지질트레일 길열림 행사,행사시작 1주일전 일평균,7.1,122,154,6343225
5,성산 오조 지질트레일 길열림 행사,전년 동기 일평균,5.7,108,133,5891457
6,산지천축제,행사기간 일평균,556,5181,8020,421827659
6,산지천축제,행사시작 1주일전 일평균,284.1,4385,7937,461135058
6,산지천축제,전년 동기 일평균,274.1,3888,7028,465011623
7,제주 해녀축제 2015,행사기간 일평균,42,381,537,19695452
7,제주 해녀축제 2015,행사시작 1주일전 일평균,21.3,301,497,24558392
7,제주 해녀축제 2015,전년 동기 일평균,19.3,226,373,17151880
8,서귀포 칠십리축제 2015,행사기간 일평균,364.7,2329,3724,189998294
8,서귀포 칠십리축제 2015,행사시작 1주일전 일평균,195.3,1915,3629,191483164
8,서귀포 칠십리축제 2015,전년 동기 일평균,181.9,1652,3003,175660706
9,제주프린지페스티벌 2015,행사기간 일평균,246,4205,8492,541893996
