구분,상세,2018년1월,2018년2월,2018년3월,2018년4월,2018년5월,2018년6월,2018년7월,2018년8월,2018년9월,2018년10월,2018년11월,2018년12월,데이터기준일자
형태별,개별여행,"931,530","731,347","833,785","716,499","815,996","935,068","922,316","1,038,643","880,738","868,257","920,287","799,716",2018-12-31
형태별,부분패키지,"83,664","130,051","152,597","289,775","198,131","196,771","157,426","78,686","152,195","123,683","74,009","103,493",2018-12-31
형태별,패키지,"29,762","31,465","47,396","218,246","191,777","46,173","43,148","29,427","65,658","136,307","41,735","73,371",2018-12-31
목적별,레저스포츠,"126,413","103,573","94,279","180,153","149,737","161,547","124,283","136,388","64,870","136,051","131,927","181,896",2018-12-31
목적별,회의및업무,"78,743","54,538","97,756","175,460","52,129","54,838","61,369","36,720","69,860","121,210","41,832","21,955",2018-12-31
목적별,휴양및관람,"757,889","681,718","758,206","772,325","823,440","870,959","867,169","949,466","858,283","700,049","769,052","708,768",2018-12-31
목적별,친지방문,"75,741","50,344","54,840","28,582","41,241","77,419","64,040","15,737","67,365","84,105","80,445","37,634",2018-12-31
목적별,교육여행,234,0,"18,785","62,892","73,417","10,689","3,123","3,199","25,738","69,517","12,775","1,237",2018-12-31
목적별,기타방문,"2,936","2,690","9,912","5,109","65,940","2,560","2,906","5,246","12,475","17,315",0,"25,090",2018-12-31
,합계 :,"2,086,912","1,785,726","2,067,556","2,449,041","2,411,808","2,356,024","2,245,780","2,293,512","2,197,182","2,256,494","2,072,062","1,953,160",
,총합계 : ,"26,175,257",,,,,,,,,,,,
